IP:PORT	 LOSS	 DELAY
162.159.192.155:928	0.00%	249 ms
188.114.97.186:928	0.00%	254 ms
188.114.96.182:903	0.00%	255 ms
188.114.96.182:928	0.00%	255 ms
188.114.96.244:903	0.00%	256 ms
188.114.97.202:903	0.00%	256 ms
162.159.192.99:928	0.00%	257 ms
162.159.192.17:928	0.00%	258 ms
162.159.195.174:928	0.00%	264 ms
162.159.195.146:903	0.00%	265 ms
188.114.99.225:928	0.00%	265 ms
188.114.97.202:928	0.00%	266 ms
188.114.96.115:928	0.00%	267 ms
162.159.192.184:903	0.00%	270 ms
188.114.97.85:903	0.00%	271 ms
188.114.98.31:928	0.00%	272 ms
188.114.97.183:903	0.00%	273 ms
188.114.97.108:903	0.00%	273 ms
162.159.195.174:903	0.00%	273 ms
188.114.98.129:903	0.00%	274 ms
162.159.195.104:928	0.00%	274 ms
188.114.99.134:903	0.00%	274 ms
162.159.192.203:928	0.00%	275 ms
188.114.99.113:928	0.00%	278 ms
188.114.99.113:903	0.00%	280 ms
188.114.98.255:928	0.00%	281 ms
188.114.97.102:928	0.00%	283 ms
162.159.195.200:928	0.00%	284 ms
188.114.96.192:928	0.00%	285 ms
188.114.96.238:903	0.00%	285 ms
188.114.97.33:928	0.00%	285 ms
162.159.195.222:903	0.00%	285 ms
188.114.99.50:903	0.00%	286 ms
162.159.195.5:903	0.00%	290 ms
188.114.96.211:903	0.00%	293 ms
